               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.049198,            0.024267,            0.018488,             0.87135,             0.16667,             0.19113,            0.085296,            0.052101,             0.01108,            0.022749,           0.0045277,           0.0045277,            0.026228
                  49,            0.052528,             0.02654,            0.015202,             0.14319,              0.4375,             0.18878,            0.044644,            0.053598,            0.011377,            0.024375,           0.0045074,           0.0045074,            0.024607
                  50,            0.056029,            0.025982,            0.021306,             0.17001,             0.41667,             0.22001,            0.087863,            0.051588,            0.011276,             0.02537,           0.0044825,           0.0044825,            0.022983
                  51,            0.050171,            0.023716,            0.021686,             0.25991,              0.3125,             0.25549,             0.09425,            0.049038,            0.011188,            0.028245,            0.004453,            0.004453,            0.021353
                  52,            0.053861,            0.039096,            0.021938,             0.28441,             0.29167,             0.26561,             0.09682,             0.05106,            0.011171,             0.02987,           0.0044192,           0.0044192,            0.019719
                  53,            0.049316,            0.022453,            0.020178,             0.31813,              0.3308,              0.3002,             0.10322,            0.048034,            0.011201,            0.028841,            0.004381,            0.004381,            0.018081
                  54,            0.043958,            0.024701,            0.016911,              0.2077,             0.35416,             0.21918,            0.058384,            0.044585,            0.011286,            0.028396,           0.0043387,           0.0043387,            0.016439
                  55,            0.046731,            0.017829,            0.016375,             0.30102,             0.29167,             0.23852,             0.07027,            0.047871,            0.011276,            0.026822,           0.0042925,           0.0042925,            0.014792
                  56,            0.054055,            0.035243,            0.020635,             0.13293,             0.35417,             0.17744,            0.055321,            0.046655,            0.011417,            0.023294,           0.0042423,           0.0042423,            0.013142
                  57,            0.044677,            0.023119,            0.017211,             0.23147,             0.27031,             0.21055,            0.073869,             0.04449,            0.011951,            0.024621,           0.0041885,           0.0041885,            0.011489
                  58,            0.048126,            0.030016,            0.013735,             0.15955,             0.58333,             0.24611,            0.090509,            0.044144,            0.012055,            0.021214,           0.0041312,           0.0041312,           0.0098312
                  59,            0.045083,            0.025908,            0.015033,              0.2214,             0.31121,             0.19353,            0.058673,            0.046078,            0.011978,            0.021208,           0.0040705,           0.0040705,           0.0081705
                  60,            0.042455,            0.021726,            0.018069,             0.16156,             0.43105,             0.17971,            0.061199,            0.048507,            0.011597,            0.019466,           0.0040067,           0.0040067,           0.0065067
                  61,            0.050288,             0.02121,            0.017575,             0.20299,             0.22917,             0.20188,            0.044371,            0.048728,            0.010881,            0.020598,           0.0039399,           0.0039399,           0.0048399
                  62,            0.049402,            0.031723,            0.018297,             0.22262,             0.41667,             0.23128,            0.080248,             0.04518,            0.010897,            0.023844,           0.0038434,           0.0038434,           0.0038434
                  63,            0.045923,            0.020835,            0.015001,             0.21876,              0.4375,             0.23751,            0.083037,            0.044361,            0.010535,            0.023469,           0.0038434,           0.0038434,           0.0038434
                  64,            0.045388,            0.021997,            0.015714,              0.1994,              0.3125,             0.21857,            0.063729,            0.047634,            0.010547,             0.02259,           0.0037128,           0.0037128,           0.0037128
                  65,             0.04407,            0.023556,            0.015303,             0.19631,             0.41326,             0.21026,            0.071712,             0.04511,            0.010602,            0.022293,            0.003584,            0.003584,            0.003584
                  66,            0.044504,            0.023176,            0.015963,             0.25022,             0.33333,             0.21721,            0.060625,            0.049324,            0.010705,             0.02183,            0.003457,            0.003457,            0.003457
                  67,            0.042404,            0.024074,            0.014168,             0.26544,             0.33333,             0.25517,            0.090216,            0.044744,            0.010748,            0.021912,           0.0033321,           0.0033321,           0.0033321
                  68,            0.044866,            0.022538,            0.013982,             0.21052,             0.29167,              0.2105,            0.052455,            0.053756,            0.010702,            0.023137,           0.0032093,           0.0032093,           0.0032093
                  69,            0.052617,            0.019418,             0.01465,             0.16304,                0.25,             0.17567,            0.071783,            0.046775,            0.010857,             0.02408,           0.0030888,           0.0030888,           0.0030888
                  70,            0.048058,            0.023015,            0.013037,             0.12744,             0.51441,             0.21766,            0.077185,            0.045082,            0.011091,             0.02485,           0.0029706,           0.0029706,           0.0029706
                  71,            0.045014,            0.026252,            0.013291,              0.1223,             0.54167,             0.19402,            0.068059,            0.048939,            0.010707,            0.025557,            0.002855,            0.002855,            0.002855
                  72,            0.044234,            0.014595,            0.012477,              0.1675,             0.33333,             0.21272,             0.08692,            0.045526,            0.010683,            0.026194,           0.0027419,           0.0027419,           0.0027419
                  73,            0.046015,            0.022354,            0.015887,             0.12296,             0.53298,             0.20107,            0.079851,            0.044669,            0.010675,            0.027436,           0.0026316,           0.0026316,           0.0026316
                  74,            0.038814,            0.019367,            0.011352,             0.13095,              0.4375,             0.20568,            0.087023,            0.046592,            0.010694,            0.028394,           0.0025241,           0.0025241,           0.0025241
                  75,            0.039563,            0.017706,            0.010123,             0.11676,             0.47917,             0.17853,            0.083584,            0.044115,            0.010387,            0.026854,           0.0024195,           0.0024195,           0.0024195
                  76,            0.041663,            0.029221,            0.010992,             0.20805,             0.20833,             0.20391,             0.09004,            0.044172,            0.010579,             0.02819,            0.002318,            0.002318,            0.002318
                  77,            0.038127,            0.021657,            0.013982,             0.20819,             0.20833,             0.22335,            0.093488,            0.043441,            0.010449,            0.028618,           0.0022196,           0.0022196,           0.0022196
